Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
1,58207,938076207,0.00625585206349591,-0.00803808754371681,0.996857452407168,0.0785587235378056,-0.151,0.158,-9.553,0.000239,0.00162,-0.000565,-0.000016,-0.00000581,0.0000201,-0.862,-0.787,170.994
2,58207,963092207,0.00628370387805577,-0.0080387708066767,0.996874372536417,0.0783414233315593,-0.187,0.141,-9.563,0.000569,0.000327,-0.000569,-0.00001605,-0.00000586,0.00002016,-0.862,-0.79,171.019
3,58207,988671207,0.00630339830332935,-0.00803017193602656,0.996890016345822,0.0781414027167014,-0.2,0.129,-9.614,0.000537,0.000818,-0.000545,-0.00001604,-0.00000555,0.00001987,-0.861,-0.792,171.042
4,58208,13169208,0.00633124923992483,-0.00803083388650473,0.99690684438436,0.0779240951809316,-0.165,0.13,-9.525,0.000099,0.001386,0.000323,-0.00001604,-0.00000571,0.00002049,-0.861,-0.795,171.067
5,58208,38099208,0.00633510533950285,-0.00800329773981267,0.996924709007498,0.0776977363630373,-0.165,0.126,-9.537,-0.00024,-0.001645,0.001329,-0.00001605,-0.00000606,0.00002072,-0.858,-0.795,171.093
6,58208,63099208,0.00632038545806137,-0.00798349599309656,0.996937848257152,0.0775322077061471,-0.136,0.118,-9.547,0.000779,0.000805,-0.000031,-0.00001595,-0.00000601,0.00002044,-0.856,-0.793,171.112
7,58208,88103208,0.00632129111627832,-0.0079827789167384,0.996946637591751,0.0774191081961826,-0.141,0.15,-9.546,-0.000458,0.002019,0.000709,-0.00001609,-0.00000591,0.00002106,-0.856,-0.793,171.125
8,58208,113447208,0.00630444816794391,-0.00798098938214516,0.996952170376855,0.077349387345069,-0.108,0.152,-9.54,-0.000529,0.001269,0.001406,-0.00001595,-0.00000652,0.00002113,-0.856,-0.791,171.133
9,58208,138121208,0.00630391261238873,-0.00798957940795619,0.996953450542222,0.0773320422503911,-0.114,0.145,-9.576,0.00001,0.002282,-0.000742,-0.00001595,-0.00000636,0.00002051,-0.857,-0.791,171.135
10,58208,163301208,0.0062944915781135,-0.00800581123317284,0.996959446592656,0.0772537909227537,-0.108,0.183,-9.527,-0.000538,0.000711,0.000369,-0.00001595,-0.00000581,0.00002106,-0.859,-0.79,171.144
11,58208,188181208,0.0062843996483264,-0.00803074475103337,0.996965366101465,0.0771755936418713,-0.119,0.146,-9.51,0.000074,-0.004821,-0.000337,-0.00001595,-0.00000652,0.00002118,-0.862,-0.789,171.153
12,58208,213094208,0.0062922044062223,-0.00805663934242398,0.996975856551271,0.0770366158399787,-0.136,0.158,-9.501,0.000272,0.000107,-0.000314,-0.0000159,-0.00000642,0.00002102,-0.865,-0.79,171.169
13,58208,238085208,0.00628427736888707,-0.00805536476617401,0.996983311950827,0.0769408516198962,-0.158,0.179,-9.512,0.000994,0.007574,-0.000564,-0.00001595,-0.00000611,0.0000205,-0.865,-0.789,171.18
14,58208,263119208,0.0062831458390909,-0.00807260091672025,0.996985185174335,0.0769148603047577,-0.122,0.124,-9.566,-0.000707,0.000113,-0.000667,-0.000016,-0.00000641,0.00002129,-0.867,-0.789,171.183
15,58208,288213208,0.00632654105585356,-0.00808421109806262,0.996990156072875,0.0768456186322631,-0.17,0.151,-9.556,0.000027,0.001877,0.000204,-0.000016,-0.00000606,0.00002106,-0.868,-0.794,171.191
16,58208,313216208,0.00633696922645921,-0.00807535097067211,0.997000211715918,0.0767151182371372,-0.188,0.15,-9.549,0.001518,0.000034,0.000348,-0.00001595,-0.00000652,0.00002034,-0.867,-0.795,171.206
17,58208,338162208,0.00637261727008892,-0.00807735788024,0.997007977559337,0.0766109569307419,-0.156,0.154,-9.556,0.001472,0.000066,-0.000517,-0.0000159,-0.00000606,0.0000205,-0.867,-0.799,171.218
18,58208,363142208,0.00638251430440633,-0.00806073584378797,0.997006715371818,0.0766283077740171,-0.153,0.137,-9.554,0.000415,0.000143,0.000134,-0.00001595,-0.00000611,0.00002045,-0.865,-0.8,171.216
19,58208,388159208,0.00638388566063147,-0.0080514782500965,0.99701346895721,0.0765412465261127,-0.152,0.111,-9.52,-0.000487,0.000484,-0.000222,-0.0000159,-0.00000642,0.00002096,-0.864,-0.8,171.226
20,58208,413145208,0.0063772219239827,-0.00803285356030023,0.997020350728619,0.0764540681533222,-0.107,0.143,-9.553,0.001277,0.00566,-0.001657,-0.00001595,-0.00000601,0.00002028,-0.862,-0.799,171.236
21,58208,438138208,0.0063871143639796,-0.00803257237576796,0.997031616234707,0.0763062171748606,-0.129,0.127,-9.57,-0.000667,-0.001672,0.000783,-0.0000159,-0.00000621,0.00002051,-0.862,-0.8,171.253
22,58208,463122208,0.00637869391418898,-0.00803168473846192,0.997034344926306,0.0762713533483146,-0.14,0.116,-9.562,0.000096,0.000159,-0.001183,-0.00001595,-0.00000616,0.00002107,-0.862,-0.799,171.257
23,58208,488123208,0.00636992299401947,-0.00803107564615909,0.99703374492939,0.076279993295047,-0.112,0.136,-9.55,-0.00117,0.001587,-0.000301,-0.00001581,-0.00000642,0.00002063,-0.862,-0.798,171.256
24,58208,513153208,0.00637097420478678,-0.00803024175638623,0.997043721415182,0.0761494812298824,-0.123,0.124,-9.493,-0.000527,-0.003347,0.001039,-0.0000159,-0.00000647,0.0000204,-0.862,-0.798,171.271
25,58208,538187208,0.00637101118078548,-0.00803838665894255,0.997050292804376,0.0760625280618689,-0.13,0.13,-9.548,-0.002045,0.001077,0.000576,-0.0000159,-0.00000611,0.00002034,-0.863,-0.798,171.281
26,58208,563192208,0.00637052720353156,-0.00805512139225439,0.997058112150205,0.0759582279807397,-0.123,0.156,-9.512,-0.000784,0.000227,0.000233,-0.0000159,-0.00000631,0.00002107,-0.865,-0.798,171.293
27,58208,588184208,0.0063866035644618,-0.00807384722595993,0.997057840047201,0.0759584615845496,-0.142,0.149,-9.504,-0.001218,-0.002209,0.000527,-0.00001605,-0.00000646,0.00002112,-0.867,-0.8,171.293
28,58208,613182208,0.00638758992331708,-0.00807306689488419,0.997067112682755,0.0758366474229736,-0.154,0.158,-9.566,-0.00009,-0.001837,-0.000203,-0.000016,-0.00000601,0.00002044,-0.867,-0.8,171.307
29,58208,638182208,0.00640493954026641,-0.00809078476911325,0.997078740083348,0.0756802617933433,-0.148,0.189,-9.533,-0.000367,-0.000591,-0.000014,-0.000016,-0.00000611,0.00002106,-0.869,-0.802,171.325
30,58208,663188208,0.00643151388703899,-0.00810056652161722,0.997089028642448,0.0755412828326921,-0.164,0.157,-9.542,0.000504,-0.000778,-0.000029,-0.000016,-0.00000636,0.00002112,-0.87,-0.805,171.341
31,58208,688229208,0.00645818347373901,-0.00810209055390443,0.997094101274514,0.0754718569961314,-0.183,0.142,-9.582,0.002401,0.003162,0.000391,-0.000016,-0.00000616,0.00002067,-0.87,-0.808,171.349
32,58208,713267208,0.00648687494980947,-0.00808564217580136,0.997105885968866,0.0753153039576537,-0.167,0.131,-9.543,0.001282,0.002591,-0.000762,-0.0000159,-0.00000571,0.00002095,-0.868,-0.811,171.367
33,58208,738308208,0.00648091880226269,-0.00805825959647866,0.997113388946389,0.0752193573995456,-0.164,0.122,-9.515,0.000579,-0.00046,0.000429,-0.0000159,-0.00000657,0.00002113,-0.865,-0.81,171.378
